0;Belize;748071;summer;Bengali
1;Canada;998765;spring;Swedish
2;Indonesia;1985018;summer;Romanian
3;Central African Rep;1019830;summer;Latvian
4;Maldives;537200;winter;Macedonian
5;Liberia;1577206;spring;Kirundi
6;Ivory Coast;215586;spring;Croatian
7;Barbados;1297430;spring;Bosnian
8;Albania;786124;spring;Mongolian
9;Kiribati;313558;spring;Malay
10;Mali;846346;winter;Urdu
11;Spain;176977;summer;Pashto
12;Uruguay;518693;winter;Czech
13;Georgia;504486;fall;Irish
14;Kuwait;88150;summer;Estonian
15;Sri Lanka;1409560;fall;Arabic
16;Libya;1392515;spring;English
17;Liechtenstein;1034731;fall;Danish
18;Paraguay;924309;spring;Aymara
19;Belize;1882659;spring;Romansh
20;Kazakhstan;1509972;winter;Albanian
21;Vanuatu;1887355;winter;Danish
22;Micronesia;1654068;winter;Maltese
23;Malawi;817616;spring;French
24;Maldives;1130521;summer;Turkish
25;Morocco;373006;winter;Romansh
26;Guatemala;879809;winter;Tongan
27;Samoa;179961;fall;Swedish
28;Madagascar;942578;summer;Vietnamese
29;Somalia;267118;summer;Azerbaijani
30;Germany;577495;spring;Bengali
31;Tuvalu;514076;spring;Russian
32;Maldives;1745738;summer;Persian
33;Algeria;1211671;spring;Ukrainian
34;Slovenia;394231;summer;Kurdish
35;Mozambique;631156;fall;Romanian
36;Gambia;1009074;fall;Samoan
37;Grenada;1038411;winter;Nauruan
38;Eritrea;1450717;summer;Turkish
39;Spain;1336878;fall;Korean
40;Cape Verde;709185;winter;Bulgarian
41;Somalia;1642812;spring;Somali
42;Botswana;1599274;fall;Portuguese
43;Czech Republic;1803347;fall;Moldovan
44;Afghanistan;1928445;summer;Swazi
45;Morocco;1943625;winter;German
46;Madagascar;29575;winter;German
47;Grenada;1875851;winter;Guaran
48;Cambodia;575215;spring;Filipino
49;Kenya;1988412;winter;Korean
50;Algeria;1976853;fall;Indonesian
51;Comoros;1836127;summer;Mongolian
52;Uganda;1110822;spring;Nepali
53;Algeria;568235;fall;Luxembourgish
54;Uganda;537604;summer;Dari
55;South Africa;774915;spring;Lithuanian
56;Bhutan;1826633;spring;Croatian
57;St Kitts & Nevis;716784;spring;Slovak
58;Suriname;691705;spring;Thai
59;Vietnam;464418;summer;Maltese
60;Russian Federation;1824170;fall;Tamil
61;Singapore;898727;fall;Estonian
62;Zambia;1423149;summer;Filipino
63;Algeria;1974427;winter;Indonesian
64;Solomon Islands;1602365;summer;Luxembourgish
65;Seychelles;1941613;fall;Maltese
66;Haiti;1551099;spring;Slovak
67;Korea North;160638;winter;Romansh
68;France;9450;spring;Lithuanian
69;Cyprus;1118588;fall;Azerbaijani
70;St Kitts & Nevis;1392762;summer;Nepali
71;Haiti;45602;spring;Guaran
72;Luxembourg;1650372;fall;Urdu
73;Kenya;163961;winter;Turkish
74;Bosnia Herzegovina;1540261;fall;Turkish
75;Malawi;43314;winter;Burmese
76;Namibia;1998232;winter;Amharic
77;Bulgaria;1851711;winter;Finnish
78;Tuvalu;773330;fall;Persian
79;Azerbaijan;1968862;winter;Amharic
80;Rwanda;1549736;summer;Greek
81;Bulgaria;917135;spring;Vietnamese
82;Ireland {Republic};623220;summer;Lithuanian
83;Ireland {Republic};1131918;winter;Portuguese
84;Vanuatu;926900;fall;Kirghiz
85;Angola;123220;summer;Indonesian
86;Andorra;1788526;winter;Quechua
87;Guatemala;414482;spring;Korean
88;Algeria;1663766;summer;Tswana
89;Croatia;1051332;fall;Italian
90;Namibia;1833590;spring;Khmer
91;Kosovo;47972;summer;Vietnamese
92;Korea South;754437;summer;Tongan
93;Guatemala;19327;summer;Afrikaans
94;Vietnam;822289;fall;Dutch
95;Namibia;275422;winter;Croatian
96;Comoros;751502;summer;Azerbaijani
97;Jamaica;1018929;spring;Quechua
98;Jordan;1169727;spring;Armenian
99;Saint Vincent & the Grenadines;1467075;winter;Dhivehi
100;Equatorial Guinea;557851;spring;German
101;Luxembourg;1105717;summer;Guaran
102;Norway;1246143;winter;Urdu
103;East Timor;1879183;fall;Catalan
104;Solomon Islands;878449;fall;Nepali
105;Uzbekistan;309685;fall;Kurdish
106;Croatia;732886;fall;Khmer
107;Saudi Arabia;481393;summer;Icelandic
108;Barbados;1219170;fall;Ukrainian
109;Brunei;752029;spring;Kurdish
110;Vatican City;562175;summer;Bulgarian
111;Taiwan;1925026;fall;Ukrainian
112;Kuwait;1269034;spring;Turkmen
113;Portugal;367726;spring;Tetum
114;United Kingdom;1930964;winter;Kirundi
115;Greece;771158;fall;Moldovan
116;Croatia;1868;fall;Dhivehi
117;Turkey;547904;summer;Irish
118;Belgium;1274360;summer;Kirundi
119;Turkey;1100442;spring;Lithuanian
120;Gambia;1738451;fall;Mongolian
121;Peru;1250282;fall;Afrikaans
122;Vanuatu;821176;winter;Amharic
123;St Lucia;296513;spring;Icelandic
124;Madagascar;1991347;winter;Slovene
125;Marshall Islands;846920;winter;Portuguese
126;Brunei;209452;winter;Bengali
127;Jordan;1883791;fall;Kurdish
128;Albania;154154;spring;Russian
129;Latvia;735544;summer;Belarusian
130;Cyprus;1356595;summer;Turkmen
131;Kiribati;1313300;fall;Chichewa
132;Eritrea;1140959;winter;Tetum
133;Central African Rep;532707;spring;Belarusian
134;Cape Verde;77645;spring;Ukrainian
135;Comoros;431290;winter;Somali
136;Madagascar;1155344;spring;Creole
137;Kenya;785543;fall;Tigrinya
138;Finland;1970545;spring;Czech
139;Colombia;666752;fall;Guaran
140;San Marino;1300189;summer;Latin
141;Lithuania;424377;fall;Azerbaijani
142;Malta;55991;summer;Moldovan
143;Spain;1531707;summer;Quechua
144;Paraguay;236994;winter;Georgian
145;Dominican Republic;1969426;winter;Polish
146;Angola;13665;summer;Bulgarian
147;Taiwan;697010;fall;Dutch
148;Congo {Democratic Rep};1477232;fall;Portuguese
149;Germany;1151489;winter;Lithuanian
150;Eritrea;1242217;spring;Maltese
151;Andorra;1903224;spring;Malay
152;Senegal;1753329;fall;Estonian
153;Cyprus;819789;spring;Finnish
154;Japan;580117;fall;Uzbek
155;Korea North;1279969;spring;Aymara
156;Syria;147533;winter;Arabic
157;India;1208129;fall;Chichewa
158;Libya;438148;summer;Tswana
159;Ghana;340713;fall;Indonesian
160;Oman;1935096;fall;Hungarian
161;Bahrain;1567038;summer;Maltese
162;Malta;1384784;summer;Spanish
163;Switzerland;1056993;summer;Lithuanian
164;Peru;1966512;summer;Korean
165;Palau;1961354;summer;Samoan
166;Belarus;1831722;summer;Uzbek
167;El Salvador;1570382;fall;Latin
168;Ivory Coast;1496706;summer;Bosnian
169;France;1463806;summer;Turkish
170;Costa Rica;1297503;winter;Slovak
171;Tuvalu;267927;spring;Portuguese
172;Azerbaijan;1894220;winter;Turkish
173;Bosnia Herzegovina;1375108;summer;Tigrinya
174;Canada;72831;winter;Kirundi
175;Niger;1791087;spring;Dzongkha
176;Georgia;1224579;fall;Amharic
177;Iceland;55802;winter;Croatian
178;Rwanda;1085393;winter;Belarusian
179;Belarus;830876;spring;Luxembourgish
180;Portugal;1476082;summer;Persian
181;Sri Lanka;1731182;spring;Icelandic
182;Rwanda;1134980;summer;Finnish
183;Vanuatu;1261033;winter;German
184;Kuwait;1539677;summer;Armenian
185;Gambia;537650;summer;Russian
186;Indonesia;352487;spring;Hebrew
187;Oman;722267;spring;Estonian
188;Croatia;1760754;fall;Portuguese
189;Fiji;262669;spring;Bulgarian
190;Turkmenistan;1179872;winter;Latin
191;Guinea;1958962;fall;Romansh
192;Nepal;1591756;fall;Persian
193;Liechtenstein;986059;winter;Filipino
194;San Marino;1671524;fall;Filipino
195;Guatemala;1860979;summer;Somali
196;Poland;1262037;summer;Estonian
197;Tajikistan;962695;winter;Turkmen
198;Norway;654133;fall;Kurdish
199;Cameroon;1550382;summer;Bislama
200;Lesotho;1997375;fall;Tajik
201;Niger;614159;fall;Danish
202;Congo {Democratic Rep};1096088;summer;Tetum
203;Papua New Guinea;1444859;summer;Finnish
204;Nepal;1938408;summer;Czech
205;Bhutan;185278;winter;Kirghiz
206;Ivory Coast;503409;spring;Tajik
207;Grenada;1803432;winter;Irish
208;Indonesia;1505950;fall;Hungarian
209;Nicaragua;1563149;spring;Georgian
210;Nigeria;215222;spring;Tigrinya
211;Namibia;1851465;fall;Samoan
212;Israel;97379;summer;Tetum
213;Kuwait;331660;winter;Dhivehi
214;Egypt;1977464;winter;Lithuanian
215;Tuvalu;667575;summer;Croatian
216;Estonia;430822;winter;Creole
217;Brazil;1689037;winter;Greek
218;Latvia;783851;spring;Korean
219;Kenya;1176204;winter;Icelandic
220;Czech Republic;1586273;spring;Dutch
221;Botswana;1987694;spring;Bislama
222;Maldives;1458985;fall;Hindi
223;Jamaica;363922;winter;English
224;Kenya;833063;winter;Finnish
225;Morocco;763823;summer;Estonian
226;Cuba;927447;spring;Macedonian
227;Cuba;562607;spring;Spanish
228;Saudi Arabia;1010511;fall;Tigrinya
229;Burkina;688143;fall;Norwegian
230;Swaziland;237342;fall;Turkish
231;Turkey;1938019;winter;Armenian
232;Mongolia;1560942;summer;Turkmen
233;Romania;1779498;winter;Macedonian
234;Slovakia;862278;spring;Pashto
235;Fiji;1991984;spring;Romanian
236;Paraguay;1510957;summer;Latvian
237;Mauritius;466181;fall;Amharic
238;Ecuador;770324;spring;Czech
239;Albania;1952128;fall;Pashto
240;Ireland {Republic};332786;fall;Azerbaijani
241;Algeria;110475;fall;Persian
242;Paraguay;5237;fall;Pashto
243;Mexico;1857793;fall;Somali
244;Bosnia Herzegovina;1941700;spring;Indonesian
245;Paraguay;1104363;summer;Danish
246;Iceland;1933080;fall;Bislama
247;Lebanon;1673539;fall;Hungarian
248;Korea South;871444;spring;Icelandic
249;Peru;1797651;fall;Arabic
250;Mauritania;724284;fall;Greek
251;Liechtenstein;1256729;spring;Kirghiz
252;Seychelles;929453;spring;Sotho
253;Tunisia;960216;summer;Mongolian
254;Marshall Islands;527203;spring;Swazi
255;Comoros;1511723;spring;Ukrainian
256;Ecuador;1647616;winter;Catalan
257;United States;1112646;summer;Dhivehi
258;El Salvador;727064;summer;Russian
259;Peru;1904861;spring;Kinyarwanda
260;Vietnam;1148207;winter;Mongolian
261;Andorra;952702;winter;Urdu
262;United States;1569189;summer;Swedish
263;Kiribati;595306;spring;Turkish
264;Liechtenstein;1655067;summer;Sotho
265;Croatia;1241183;spring;Polish
266;Gambia;1341443;fall;Kurdish
267;Rwanda;37037;spring;Italian
268;Guatemala;1577384;spring;Chichewa
269;Monaco;1462323;spring;Mongolian
270;Colombia;914017;fall;Kirundi
271;Panama;1081917;fall;Tajik
272;United Arab Emirates;832898;winter;Samoan
273;Gabon;470097;fall;German
274;Qatar;1665944;fall;Nepali
